000001,sz
000002,sz
000004,sz
000005,sz
000006,sz
000007,sz
000008,sz
000009,sz
600001,sh
600002,sh
600003,sh
600004,sh
600005,sh
600006,sh
600007,sh
600009,sh
000010,sz
000011,sz
000012,sz
000014,sz
000016,sz
000017,sz
000018,sz
000019,sz
000020,sz
000021,sz
000023,sz
000024,sz
600010,sh
600011,sh
600012,sh
600015,sh
600016,sh
600017,sh
600018,sh
600019,sh
600020,sh
600021,sh
600022,sh
600023,sh
300010,sz
300011,sz
300012,sz
300013,sz
300014,sz
300015,sz
300016,sz
300017,sz
300018,sz
300019,sz
300020,sz
300021,sz
300022,sz
300023,sz
300024,sz
688010,sh
688011,sh
688013,sh
688015,sh
688016,sh
688017,sh
688018,sh
688019,sh
688021,sh
688022,sh
688023,sh
000026,sz
000027,sz
000028,sz
000029,sz
000030,sz
000031,sz
600026,sh
600027,sh
600028,sh
600029,sh
600030,sh
600031,sh
000032,sz
000033,sz
000034,sz
000035,sz
000036,sz
000037,sz
000038,sz
000039,sz
000040,sz
000042,sz
000045,sz
000046,sz
000048,sz
000049,sz
600032,sh
600033,sh
600035,sh
600036,sh
600037,sh
600038,sh
600039,sh
600048,sh
300032,sz
300033,sz
300034,sz
300035,sz
300036,sz
300037,sz
300038,sz
300039,sz
300040,sz
300041,sz
300042,sz
300043,sz
300044,sz
300045,sz
300046,sz
300047,sz
300048,sz
300049,sz
